tier,version,n,rounds_mean,retention_1,retention_7
中度玩家,gate_30,17036,52.877670814745244,70.35102136651797,26.379431791500352
中度玩家,gate_40,16985,54.09802767147483,70.25610833088018,25.02796585222255
安装未玩,gate_30,1937,0.0,2.1166752710376873,0.8260196179659267
安装未玩,gate_40,2057,0.0,2.236266407389402,0.6319883325230918
超核玩家,gate_30,428,839.6331775700935,97.19626168224299,94.85981308411215
超核玩家,gate_40,432,750.3055555555555,97.68518518518519,96.29629629629629
轻度玩家,gate_30,21467,7.115898821446872,19.047840872036147,3.051194857222714
轻度玩家,gate_40,22150,7.078826185101581,18.925507900677204,2.930022573363431
重度玩家,gate_30,3832,243.17614822546972,91.41440501043841,76.4874739039666
重度玩家,gate_40,3865,241.59042690815008,91.22897800776197,76.32600258732212
