scenario,mean_control,mean_treatment,diff,bootstrap_ci_95,p_treatment_lower,mwu_p_value,n_excluded
全量玩家,52.458799250559274,51.28975523093495,-1.1690440196243328,"[-4.11, +0.97]",0.8035,0.05020880772044255,0
剔除>1073局,50.08996697194294,49.80086412333018,-0.2891028486127665,"[-1.49, +0.93]",0.6812,,91
