n_per_arm,mde_pp
2000,3.5959137442890636
2723,3.067075991629559
3447,2.7176917558836706
4171,2.4650561478235016
4894,2.2715191808847264
5618,2.117174973726886
6342,1.9903860473364023
7066,1.8838366058607137
7789,1.7926674684600705
8513,1.7135085888024917
9237,1.6439397307986345
9961,1.5821720582277226
10684,1.5268511177576394
11408,1.4769300709395177
12132,1.431585378686849
12855,1.3901591033825147
13579,1.3521184384274223
14303,1.3170267002223541
15027,1.2845221343580202
15750,1.2543021648781982
16474,1.226111508540757
17198,1.1997330813032114
17922,1.1749809537142824
18645,1.1516948312012452
19369,1.1297356840019384
20093,1.1089822541383594
20816,1.0893282387772065
21540,1.0706800004836436
22264,1.0529546917393882
22988,1.0360787079872127
23711,1.0199864033037902
24435,1.0046190175958296
25159,0.9899237753537515
25883,0.9758531244626776
26606,0.9623640900598758
27330,0.9494177234426868
28054,0.9369786299360734
28777,0.9250145626917345
29501,0.9134960718092493
30225,0.9023962000917374
30949,0.8916902182852975
31672,0.8813553938872798
32396,0.871370788607694
33120,0.8617170803802088
33844,0.8523764064825865
34567,0.8433322248708022
35291,0.8345691912799182
36015,0.8260730500163396
36738,0.8178305366749985
37462,0.8098292912728187
38186,0.8020577805057991
38910,0.7945052280186751
39633,0.7871615517293118
40357,0.7800173073797243
41081,0.7730636375957551
41805,0.7662922258312939
42528,0.7596952546530986
43252,0.7532653678909882
43976,0.7469956362371988
44700,0.7408795259295706
