group,n_users,share_pct,zero_round_pct,rounds_mean,rounds_median,rounds_p90,rounds_p99,rounds_max,retention_1_pct,retention_7_pct,retained1_not7_pct
gate_30,44700,49.56258523766756,4.333333333333334,52.45626398210291,17.0,135.0,493.0,49854,44.81879194630872,19.020134228187917,29.883668903803134
gate_40,45489,50.43741476233244,4.521972344962518,51.29877552814966,16.0,134.0,492.1200000000026,2640,44.22827496757458,18.200004396667328,29.925916155554088
